# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-06-14 18:03:04.496
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.553859,-0.0186,0.0713,0.0055,0.07
3.562006,-0.0070,0.0718,-0.0257,0.08
3.579540,-0.0180,0.0606,0.0110,0.06
3.583218,0.0123,0.0646,0.0601,0.09
3.591373,-0.0277,0.0650,0.0434,0.08
3.599840,-0.0057,0.0660,0.1018,0.12
3.613801,-0.0318,0.0373,0.0357,0.06
3.621999,-0.0326,0.0496,0.0340,0.07
3.637433,-0.0040,0.0555,0.0646,0.09
3.642226,0.0017,0.0433,0.0620,0.08
3.650713,-0.0417,0.0178,0.0217,0.05
3.663360,-0.0418,0.0399,0.0313,0.07
3.675490,0.0032,0.0422,0.0794,0.09
3.690877,0.0219,0.0359,-0.0175,0.05
3.693916,0.0222,0.0388,-0.1007,0.11
3.701464,0.0286,0.0421,-0.0963,0.11
3.709901,0.0233,0.0618,-0.0818,0.11
3.722712,-0.0475,-0.0159,-0.1030,0.11
3.733386,-0.0034,0.0773,-0.0558,0.10
3.747853,-0.0038,0.0885,-0.0167,0.09
3.754776,-0.0319,0.0605,-0.0676,0.10
3.760749,0.0015,0.0466,-0.0762,0.09
3.773894,-0.0212,0.0574,-0.0705,0.09
3.781935,-0.0371,0.0589,-0.0852,0.11
3.792125,-0.0381,0.0813,-0.1291,0.16
3.803083,-0.0561,0.1110,-0.1264,0.18
3.811741,-0.0495,0.0766,-0.1337,0.16
3.822062,-0.0710,0.0911,-0.1504,0.19
3.834026,-0.0493,0.0369,-0.3066,0.31
3.841193,-0.0420,0.0917,-0.3943,0.41
3.849737,-0.0461,0.1378,-0.4412,0.46
3.862560,-0.0576,0.1608,-0.4307,0.46
3.877486,-0.0286,0.2558,-0.4493,0.52
3.883807,-0.2232,0.7112,-1.3254,1.52
3.893482,0.6971,1.6969,-6.4924,6.75
3.900524,-0.2588,5.9742,-18.8653,19.79
3.913924,-0.6368,3.9589,-14.8958,15.43
3.923491,-1.4531,11.5982,-9.1803,14.86
3.932512,-0.7261,10.6134,-9.7390,14.42
3.942959,2.9536,18.3751,-13.7145,23.12
3.951376,10.6275,29.7215,-21.7330,38.32
3.959742,11.0904,35.2785,-27.9253,46.34
3.974064,7.1254,25.5410,-10.7236,28.60
3.986322,5.4126,18.3066,-9.6467,21.39
3.994079,-1.0459,17.5645,-4.6773,18.21
4.008284,-2.5035,18.6953,-2.3816,19.01
4.010589,-1.7809,18.3682,-0.4039,18.46
4.023509,0.5900,15.8017,-0.3443,15.82
4.035915,2.2604,12.8090,-0.9408,13.04
4.052895,4.4680,11.7546,-0.7529,12.60
4.059665,6.3447,10.9923,-0.0160,12.69
4.061348,7.3710,9.3340,0.8653,11.92
4.070197,7.6868,7.1619,0.9295,10.55
4.082676,7.8513,5.4775,1.2314,9.65
4.091399,7.7918,3.9865,1.7058,8.92
4.103761,6.6407,2.4257,2.2284,7.41
4.115259,4.6517,0.7451,2.5136,5.34
4.124747,3.9561,-0.7483,1.9226,4.46
4.133839,4.5224,-1.3519,-0.5832,4.76
4.141909,5.1982,-1.1485,-3.8712,6.58
4.150360,5.2048,-1.6279,-5.8657,8.01
4.163361,3.6993,-2.8573,-6.5239,8.03
4.176532,1.6798,-4.6979,-5.9605,7.77
4.194207,0.2520,-6.6418,-5.4717,8.61
4.194267,0.0102,-9.1019,-5.0083,10.39
4.208094,0.5352,-11.3106,-3.6393,11.89
4.216733,1.5120,-13.8298,-2.0294,14.06
4.226161,3.0306,-15.5109,-1.8637,15.91
4.232741,4.2183,-16.7274,-2.5501,17.44
4.243467,5.0033,-17.7626,-4.7577,19.06
4.253402,4.5772,-18.5671,-5.4506,19.88
4.260592,3.3011,-18.8270,-7.1098,20.39
4.273857,0.2045,-18.8958,-5.5136,19.68
4.281568,-3.6780,-20.1853,-1.0975,20.55
4.296638,-6.9394,-20.5629,1.0631,21.73
4.302904,-8.3264,-21.1872,0.7502,22.78
4.311147,-7.4811,-21.0248,0.4256,22.32
4.319627,-5.4657,-20.7421,1.2865,21.49
4.333742,-3.3827,-21.8794,2.4474,22.27
4.340985,-1.5341,-22.8038,3.2175,23.08
4.355849,0.2190,-26.7054,2.8676,26.86
4.365288,-1.2965,-13.6204,2.9815,14.00
4.374880,0.6655,1.8747,-1.5480,2.52
4.383616,2.1539,0.8005,-4.4812,5.04
4.391579,-2.5204,-1.8706,-11.1770,11.61
4.400130,-2.2117,-1.8739,-6.0403,6.70
4.413801,-1.6619,-1.3529,-7.4848,7.79
4.421461,0.2569,-0.7016,-10.6137,10.64
4.429709,0.6948,-0.2113,-4.1154,4.18
4.442430,0.2790,-0.0679,-1.1974,1.23
4.451155,0.2039,-0.2234,-3.8420,3.85
4.463603,0.1457,-0.0290,-1.5911,1.60
4.475262,0.1345,0.0510,-0.3199,0.35
4.484181,0.1572,-0.0567,-0.9613,0.98
4.496163,-0.0442,0.0249,-0.4809,0.48
4.501736,-0.0413,0.0730,-0.2276,0.24
4.510190,0.0751,0.0456,-0.1803,0.20
4.522869,0.0735,0.0774,0.0124,0.11
4.531328,0.0485,0.1072,0.2176,0.25
4.540124,0.0309,0.1070,0.1696,0.20
4.553693,0.0302,0.0904,0.0911,0.13
4.561076,0.0040,0.0949,0.1328,0.16
4.573917,-0.0378,0.1023,0.1102,0.16
4.582317,-0.0746,0.0756,-0.0036,0.11
4.592781,-0.0294,0.0896,-0.0025,0.09
4.603491,-0.0208,0.0730,-0.0201,0.08
4.613102,-0.0490,0.0680,-0.0637,0.11
4.622370,-0.0375,0.0580,-0.0119,0.07
4.633998,-0.0471,0.0772,0.0524,0.10
