# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-11-03 01:56:47.246
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007840,0.4194,-0.7557,-0.5537,1.03
0.012429,0.3018,-0.8603,0.2586,0.95
0.038510,0.3243,-1.0518,0.7062,1.31
0.050355,0.4381,-1.1363,0.9118,1.52
0.063273,0.6079,-1.0587,0.7161,1.42
0.073848,0.5484,-1.0037,0.4139,1.22
0.083029,0.4330,-0.8699,0.1556,0.98
0.092956,0.3913,-0.7551,-0.0591,0.85
0.116872,0.4106,-0.6356,-0.2851,0.81
0.117020,0.4678,-0.5237,-0.4606,0.84
0.127096,0.5069,-0.4661,-0.4829,0.84
0.133947,0.5690,-0.4914,-0.4243,0.86
0.143664,0.6267,-0.4978,-0.3062,0.86
0.167241,0.6544,-0.5234,-0.1311,0.85
0.167395,0.6001,-0.5229,0.0722,0.80
0.174128,0.5159,-0.5867,0.2010,0.81
0.184157,0.4993,-0.6655,0.2366,0.86
0.194737,0.4890,-0.6949,0.2268,0.88
0.206133,0.4911,-0.7033,0.1575,0.87
0.214309,0.4783,-0.7448,0.1052,0.89
0.224654,0.4362,-0.7683,0.0531,0.89
0.236396,0.4291,-0.7514,-0.0656,0.87
0.249980,0.4491,-0.7557,-0.1292,0.89
0.256068,0.4594,-0.7184,-0.1520,0.87
0.265021,0.4139,-0.7652,-0.1867,0.89
0.275035,0.3677,-0.8185,-0.2072,0.92
0.299934,0.3806,-0.8732,-0.1895,0.97
0.315517,0.4761,-0.9216,0.0771,1.04
0.333184,0.5051,-0.9969,0.1250,1.12
0.339699,0.5447,-1.0355,0.1633,1.18
0.345907,0.4801,-1.0371,0.1633,1.15
0.356951,0.4077,-1.0270,0.1228,1.11
0.365839,0.3939,-0.9810,0.0459,1.06
0.375990,0.4226,-0.8997,0.0125,0.99
0.389275,0.3925,-0.8285,0.0150,0.92
0.396058,0.3497,-0.7744,0.0763,0.85
0.406548,0.3504,-0.6882,0.0778,0.78
0.416353,0.3371,-0.6558,0.1145,0.75
0.426465,0.3436,-0.6296,0.1318,0.73
0.440097,0.2776,-0.6095,0.1300,0.68
0.446927,0.1702,-0.6115,0.1166,0.65
0.456859,0.1189,-0.6413,0.1104,0.66
0.466971,0.0687,-0.6366,0.0854,0.65
0.479016,0.0412,-0.6638,0.1384,0.68
0.490248,0.0214,-0.6708,0.1599,0.69
0.498778,0.0166,-0.6868,0.2494,0.73
0.507139,0.0437,-0.7337,0.3444,0.81
0.523238,0.0036,-0.7570,0.3719,0.84
0.529259,0.0384,-0.7432,0.3449,0.82
0.541686,0.1520,-0.7211,0.2759,0.79
0.547437,0.2533,-0.6836,0.2506,0.77
0.558854,0.3759,-0.6519,0.1927,0.78
0.568033,0.4533,-0.6537,0.0746,0.80
0.578807,0.5316,-0.6908,0.0856,0.88
0.588973,0.6497,-0.6809,0.1505,0.95
0.598924,0.6380,-0.6725,0.2097,0.95
0.608198,0.6940,-0.7154,0.2021,1.02
0.622241,0.6773,-0.7286,0.1547,1.01
0.628327,0.6059,-0.7102,0.1811,0.95
0.639222,0.5614,-0.6519,0.0965,0.87
0.648792,0.4283,-0.6792,0.0393,0.80
0.659120,0.2713,-0.6184,-0.0356,0.68
0.672686,0.1378,-0.5245,-0.1256,0.56
0.679372,-0.0561,-0.3948,-0.1505,0.43
0.690606,-0.1434,-0.2377,-0.2103,0.35
0.699265,-0.1619,-0.0780,-0.2691,0.32
0.712406,-0.1204,0.1138,-0.3201,0.36
0.724340,0.0530,0.2653,-0.3774,0.46
0.730107,0.2677,0.3036,-0.4342,0.59
0.739962,0.3765,0.1380,-0.4292,0.59
0.749500,0.2044,-0.2645,-0.3520,0.49
0.759880,-0.0541,-0.5876,-0.1543,0.61
0.771581,-0.3678,-0.7473,0.1503,0.85
0.780043,-0.6435,-0.8007,0.6100,1.19
0.790108,-0.8301,-0.6731,0.9637,1.44
0.800541,-0.7496,-0.3264,1.1499,1.41
0.810151,-0.4959,0.0169,1.0491,1.16
0.821973,-0.1449,0.4200,0.7062,0.83
0.830674,0.1532,0.7934,0.2027,0.83
0.840808,0.4003,1.0118,-0.2937,1.13
0.850538,0.4347,1.1267,-0.7219,1.41
0.861698,0.5800,1.4716,-0.9539,1.85
0.873085,0.4870,1.4594,-1.0192,1.85
0.881200,0.4765,1.4233,-0.7893,1.70
0.891592,0.5261,1.4013,-0.4726,1.57
0.906428,0.5128,1.3110,-0.1859,1.42
0.912516,0.5138,1.0329,-0.0125,1.15
0.923156,0.4733,0.7277,0.0576,0.87
0.931418,0.2503,0.4254,0.1776,0.52
0.941802,-0.0626,0.1959,0.4432,0.49
0.955450,-0.2640,-0.0504,2.0851,2.10
0.962075,-0.9628,-0.5840,1.8948,2.20
0.972125,-1.4115,-0.6091,1.1728,1.93
0.982289,-1.4968,-0.3614,0.7341,1.71
0.991864,-1.3413,0.0236,0.5829,1.46
1.006124,-0.9875,0.2191,0.3725,1.08
1.012281,-0.8267,0.2396,0.2512,0.90
