# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-11-03 02:06:15.520
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.010383,-0.0399,0.0153,0.6221,0.62
0.013150,-0.1846,0.1290,0.4132,0.47
0.024632,-0.0354,0.2133,0.1042,0.24
0.033276,-0.1958,0.1925,-0.4278,0.51
0.045066,-0.2317,0.1120,-0.6683,0.72
0.060450,-0.1294,0.0299,-0.6693,0.68
0.066364,-0.0446,0.0263,-0.6749,0.68
0.075496,-0.3054,0.0424,-0.7509,0.81
0.084767,-0.5074,-0.0252,-0.7125,0.88
0.094062,-1.1938,-0.0873,-0.6748,1.37
0.110154,-0.6145,0.1639,-0.6516,0.91
0.114484,-0.7475,0.0344,-0.4594,0.88
0.124394,-0.7441,-0.0073,-0.2891,0.80
0.134703,-0.5718,0.0528,-0.0582,0.58
0.145393,-0.4472,0.0754,0.0088,0.45
0.156663,-0.3744,0.1151,0.0323,0.39
0.164836,-0.2572,0.1111,0.0789,0.29
0.175352,-0.0854,0.0713,0.0965,0.15
0.185090,0.1788,0.0698,0.0502,0.20
0.195133,0.4190,0.0856,-0.0400,0.43
0.206542,0.5686,0.1422,-0.0486,0.59
0.215968,0.6559,0.1730,-0.0712,0.68
0.227227,0.5462,0.2392,-0.0063,0.60
0.243642,0.4925,0.3556,0.1070,0.62
0.245682,0.5208,0.4278,0.2631,0.72
0.256226,0.6318,0.4885,0.3317,0.86
0.266589,0.7552,0.5976,0.2556,1.00
0.276577,0.7734,0.7205,0.1995,1.08
0.293375,0.7128,0.8594,0.3068,1.16
0.296428,0.6388,0.9226,0.4405,1.21
0.306741,0.7586,0.9193,0.5318,1.31
0.317373,0.9356,1.0519,0.4491,1.48
0.327124,0.8640,1.2578,0.1159,1.53
0.343066,0.5688,1.4931,-0.1448,1.60
0.346751,0.2633,1.7494,-0.3689,1.81
0.356944,0.1216,1.6844,-0.4371,1.74
0.366625,0.2004,1.5249,-0.3497,1.58
0.376907,0.2982,1.3968,-0.0046,1.43
0.394120,0.1889,1.2921,0.3016,1.34
0.397052,-0.0194,1.2064,0.3968,1.27
0.409840,-0.0981,1.0943,0.5562,1.23
0.418201,-0.1581,0.9928,0.7439,1.25
0.427733,-0.1467,0.9215,0.7136,1.17
0.443816,-0.1361,0.8643,0.4373,0.98
0.447752,-0.1093,0.9015,0.0970,0.91
0.457729,0.0271,0.9823,-0.2044,1.00
0.468846,0.0980,0.9973,-0.5981,1.17
0.478268,0.2225,1.0315,-0.9812,1.44
0.494041,0.3381,1.0973,-1.2678,1.71
0.498374,0.3662,1.1391,-1.4343,1.87
0.508836,0.3747,1.2202,-1.4617,1.94
0.524088,0.3422,1.2658,-1.3122,1.86
0.528410,0.3443,1.3348,-1.1511,1.80
0.540835,0.2793,1.3069,-0.8517,1.58
0.549386,0.2979,1.3234,-0.4551,1.43
0.573581,0.3072,1.2865,-0.0999,1.33
0.591151,0.1527,1.2206,0.7511,1.44
0.599683,0.1106,1.1696,0.9194,1.49
0.609619,0.2154,1.1815,0.9176,1.51
0.627140,0.3328,1.1737,0.8130,1.47
0.629850,0.4218,1.1625,0.5700,1.36
0.640020,0.4424,1.1954,0.3204,1.31
0.649521,0.4346,1.1593,0.2601,1.27
0.660211,0.4057,1.0567,0.2549,1.16
0.674551,0.5350,0.9484,0.3691,1.15
