# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-11-03 18:56:36.013
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.776967,-0.6478,-0.4153,-0.6979,1.04
1.784970,-0.2576,-0.3906,-1.3767,1.45
1.795608,0.0752,-0.3202,-1.7377,1.77
1.810734,0.2033,-0.2342,-1.3109,1.35
1.816259,0.8251,2.4703,-0.3836,2.63
1.829591,0.7849,1.2935,-0.9071,1.76
1.835990,0.7241,-0.2434,-1.8758,2.03
1.845821,1.2298,-0.7549,-1.8437,2.34
1.860366,2.2153,1.7291,-0.8250,2.93
1.865031,2.6977,3.7249,-0.3460,4.61
1.877409,2.9276,3.8786,-0.5746,4.89
1.886325,3.0885,3.4747,-2.0357,5.08
1.896248,3.0312,3.0077,-3.0638,5.26
1.911438,3.1295,3.0157,-3.2626,5.43
1.916135,6.4596,7.8103,-2.7688,10.51
1.928710,1.9690,4.7431,-3.4332,6.18
1.937052,2.8805,4.8358,-1.7257,5.89
1.946337,3.9449,4.8249,-4.4567,7.66
1.961446,4.0253,5.1851,-4.8931,8.19
1.966531,5.1517,5.4159,-5.2704,9.15
1.978063,5.9803,4.9457,-5.3517,9.43
1.995501,6.8000,4.2288,-4.8955,9.39
1.998261,7.8078,2.8446,-4.5277,9.46
2.011509,8.1997,1.5827,-4.2302,9.36
2.028191,8.1243,-0.0006,-4.7629,9.42
2.045514,7.9729,-1.7373,-5.7738,10.00
2.062296,16.6424,8.5141,-6.8860,19.92
2.068044,13.8975,14.4767,-6.9570,21.24
2.080891,2.9852,6.4216,4.9402,8.63
2.095561,-3.6982,6.7774,8.8723,11.76
2.098415,-2.7785,13.8871,0.4156,14.17
2.112056,3.9190,5.1764,-2.1372,6.84
2.118357,4.1162,-2.2734,-9.5414,10.64
2.129038,3.7339,-1.5933,-11.5497,12.24
2.145565,2.9233,2.0538,-6.8768,7.75
2.148460,2.3415,1.1063,4.8479,5.50
2.161989,0.2060,-1.0578,11.5203,11.57
2.169340,0.7490,0.4473,5.4940,5.56
2.179218,1.5994,1.0946,-1.5350,2.47
2.195711,1.9642,0.2563,-4.7711,5.17
2.198858,1.6392,-0.1578,-4.4427,4.74
2.211837,0.0898,-0.0953,-0.0512,0.14
2.219511,-0.5729,0.0431,3.0248,3.08
2.229856,-0.2370,0.0624,1.6297,1.65
2.244961,-0.2842,-0.2031,0.7424,0.82
2.249595,-0.9120,-0.4719,1.4895,1.81
2.261793,-1.1595,-0.7155,2.1121,2.51
2.269798,-1.4085,-1.0105,2.5816,3.11
2.280123,-1.4285,-0.5241,2.3880,2.83
2.295309,-1.1100,0.1317,0.5376,1.24
2.300226,-1.1151,-0.0693,0.2371,1.14
2.311531,-0.6658,-0.3739,-0.2963,0.82
2.332773,-0.8708,-0.5749,-0.7452,1.28
2.350435,0.7415,-0.1393,-0.7846,1.09
2.360448,-0.5060,-0.4454,0.7474,1.01
2.375931,0.7539,0.0537,0.4120,0.86
2.380682,0.6113,-0.0887,0.1824,0.64
2.394347,-0.0381,-0.1281,0.4388,0.46
2.400722,-0.0178,0.3003,0.5426,0.62
2.410997,-0.5515,0.4449,0.6022,0.93
2.427816,-0.9010,0.2104,0.7259,1.18
2.431417,-1.3292,0.1018,0.5896,1.46
2.444550,-1.7518,0.3095,0.1035,1.78
2.451260,-1.3686,0.6734,0.1884,1.54
2.462026,-1.1969,0.7993,-0.4933,1.52
2.477784,-0.9833,0.5015,0.1905,1.12
2.482098,-0.8588,0.8322,0.0439,1.20
2.494361,-1.1096,0.7441,0.2912,1.37
2.502342,-1.7096,0.6110,0.6536,1.93
2.512193,-2.5631,0.6814,0.8294,2.78
2.527834,-2.8691,0.9027,1.0939,3.20
2.531610,-2.7554,0.8216,1.1928,3.11
2.544454,-2.7175,0.4252,1.0561,2.95
2.552523,-2.4169,0.2090,0.8991,2.59
2.563098,-2.3294,0.1007,0.8767,2.49
2.577687,-2.6460,0.2175,1.1355,2.89
2.582987,-2.9834,0.5493,1.5059,3.39
2.594311,-3.7007,0.6231,1.6356,4.09
2.610995,-4.2672,0.9936,2.0374,4.83
2.621244,-4.7371,1.4692,2.4115,5.51
2.631267,-5.2180,2.3506,2.4856,6.24
2.632985,-6.4513,3.3014,2.3980,7.63
2.644558,-8.2939,4.2210,2.7312,9.70
2.653243,-10.4505,5.0282,3.9446,12.25
2.664505,-12.6286,6.1917,5.2050,15.00
2.673346,-13.7619,8.0800,6.8005,17.35
2.683993,-12.8518,7.5018,5.6744,15.93
2.693673,-10.3652,7.0079,6.9579,14.32
2.710357,-7.7690,6.5891,6.6713,12.18
2.717380,-5.1555,6.7966,5.3921,10.09
2.724205,-2.6781,5.6323,3.1351,6.98
2.735136,-1.3769,1.7148,1.4268,2.62
2.744532,-1.3001,-2.7060,2.5357,3.93
2.760347,-2.0478,-3.4934,0.5836,4.09
2.764525,-0.4065,0.0003,-3.7273,3.75
2.777129,0.0352,1.4309,-1.4357,2.03
2.784572,-1.3642,-0.4642,0.8112,1.65
2.796093,-4.5651,-3.5062,4.8171,7.51
2.809616,-6.0973,-5.0008,7.0287,10.56
2.816165,-5.9185,-4.7691,6.3345,9.89
2.826477,-4.7674,-3.7788,4.2992,7.45
2.844528,-2.9358,-1.8616,1.5550,3.81
2.860808,0.2765,0.7825,-3.4411,3.54
2.864703,0.4806,-0.7683,-4.2828,4.38
2.877359,0.0601,-1.9218,-3.5321,4.02
2.885545,-0.7950,-2.3797,-0.8233,2.64
2.896225,-1.4636,-2.1429,1.9953,3.27
2.910979,-1.2953,-1.2838,3.2195,3.70
2.916578,-0.6061,-0.6195,2.4179,2.57
2.927413,0.0024,-0.3303,0.5924,0.68
2.936308,0.8141,0.1574,-1.1113,1.39
2.946334,1.7573,0.6380,-2.1298,2.83
2.960137,2.3986,0.7940,-1.5329,2.96
2.966400,3.0810,1.0366,-0.1274,3.25
2.977680,3.9249,1.4601,0.6742,4.24
2.992257,4.6932,1.7072,0.6243,5.03
2.997781,5.2328,1.4753,-0.0967,5.44
3.006704,5.5526,1.6997,-0.8041,5.86
3.016935,5.7562,2.2982,-1.1376,6.30
3.027283,5.9913,3.2648,-1.2078,6.93
3.041626,5.9780,4.1566,-1.6180,7.46
3.047056,5.4787,4.4242,-2.0817,7.34
3.059422,4.7538,4.5776,-2.3437,7.00
3.067431,4.2626,5.1051,-2.6417,7.16
3.077892,4.5629,5.5738,-3.2229,7.89
3.093018,5.8967,6.0212,-3.4378,9.10
3.097791,8.9597,7.2138,-4.6548,12.41
3.110209,7.0779,6.2266,-4.9262,10.64
3.118406,7.9422,5.2444,-4.5906,10.57
3.128183,7.9895,4.4841,-6.0625,10.99
3.142344,8.3491,4.1146,-6.5003,11.35
3.147953,8.5970,3.9011,-7.6239,12.13
3.159579,8.2580,2.4312,-8.5712,12.15
