# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-11-03 19:01:09.572
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.016249,1.1877,-1.4753,-2.1153,2.84
1.026605,0.3211,-1.5037,-2.2353,2.71
1.039073,0.1392,-1.5754,-1.5723,2.23
1.046871,0.1105,-1.6846,-1.6108,2.33
1.060453,0.1104,-1.5140,-2.4282,2.86
1.066957,-0.4347,-1.1359,-3.1236,3.35
1.077455,-1.2650,-0.8321,-3.6603,3.96
1.090969,-2.0651,-0.5424,-3.3722,3.99
1.097225,-2.4057,-0.5361,-1.8540,3.08
1.108471,-2.2684,-0.3518,-1.2381,2.61
1.117275,-2.5652,0.2853,-2.2501,3.42
1.127529,-3.1137,0.9821,-2.8000,4.30
1.139296,-3.4553,1.4946,-2.4274,4.48
1.148475,-3.9266,1.9579,-2.1519,4.89
1.158059,-4.6692,2.4109,-2.3315,5.75
1.172264,-5.3236,2.8869,-2.7891,6.67
1.177690,-5.5986,2.6004,-3.4120,7.05
1.191411,-5.5190,2.9054,-3.5461,7.17
1.198996,-5.9760,2.8250,-3.5759,7.52
1.208685,-6.7456,2.5300,-4.4835,8.49
1.224892,-7.4266,2.2389,-5.4370,9.47
1.228942,-8.0226,1.9771,-5.7902,10.09
1.239813,-8.4168,1.4244,-4.9561,9.87
1.249482,-8.4634,0.6236,-4.5716,9.64
1.259290,-8.2567,0.1821,-5.0627,9.69
1.273433,-8.1450,0.6673,-4.7464,9.45
1.278797,-8.2266,1.8806,-3.6116,9.18
1.291590,-9.2466,2.4298,-3.0163,10.03
1.299808,-10.7168,2.0192,-3.3681,11.41
1.309282,-12.1604,1.0239,-3.5333,12.70
1.322240,-13.7987,1.3082,-4.0788,14.45
1.329842,-14.1112,0.9099,1.8039,14.26
1.340953,-11.9309,2.5504,-2.8892,12.54
1.350008,-12.4274,3.2646,0.0799,12.85
1.359787,-9.2640,2.1547,-3.0346,9.98
1.375339,-4.3807,3.4254,-8.3994,10.07
1.380211,-2.7053,7.5025,-6.9643,10.59
1.389987,3.0891,10.9699,-2.1618,11.60
1.399762,7.1093,12.4866,-10.4998,17.80
1.410565,7.4706,10.7252,-14.0381,19.18
1.423877,3.5493,4.1034,-3.9857,6.73
1.430759,-1.6031,-0.5570,11.8243,11.95
1.441876,-1.8706,-1.4183,10.1818,10.45
1.450445,-3.6774,-0.7230,3.6256,5.21
1.462064,-5.8032,-1.5699,1.3220,6.16
1.471807,-8.0000,-2.5204,2.3967,8.72
1.482919,-9.3263,-1.8369,2.6409,9.87
1.494517,-8.8733,-0.0321,0.4364,8.88
1.513664,-7.7177,1.5431,-2.3880,8.22
1.531320,0.1053,-0.1203,-1.8721,1.88
1.541943,1.2332,0.1336,-2.1945,2.52
1.558553,2.0347,0.6441,-1.7609,2.77
1.561817,1.9387,0.6867,-1.0533,2.31
1.575260,0.7003,0.2934,-0.4714,0.89
1.581967,-0.5247,-0.2960,0.0871,0.61
1.591833,-0.8276,-0.6325,0.0964,1.05
1.608842,-0.8396,-0.5734,0.0817,1.02
1.611660,-0.4917,-0.2988,-0.6559,0.87
1.625463,0.0946,-0.0049,-0.4272,0.44
1.632071,0.2784,0.1198,-0.1646,0.34
1.642621,0.4796,0.1256,0.2800,0.57
1.658542,0.9402,-0.1184,0.5648,1.10
1.662729,1.2588,-0.3103,0.3081,1.33
1.675344,1.1671,-0.2494,0.2106,1.21
1.682845,0.9307,0.1777,0.7970,1.24
1.693072,0.6797,0.4068,0.3991,0.89
1.708778,0.9021,0.3435,0.5373,1.10
1.713298,1.4339,0.0870,1.0015,1.75
1.725517,1.5106,-0.1211,0.9780,1.80
1.734031,1.4201,-0.0037,1.1418,1.82
1.744169,1.4780,0.3240,1.6085,2.21
1.758685,1.6484,0.6995,1.5732,2.38
1.763819,1.7781,0.9699,1.8016,2.71
1.775137,1.9279,1.0330,2.0163,2.97
1.792038,2.1374,0.9759,1.5703,2.83
1.794281,2.2344,1.1010,1.1590,2.75
1.808626,2.4588,1.3705,1.1732,3.05
1.814730,2.7783,1.6778,0.6680,3.31
1.825489,3.3049,1.8377,0.9458,3.90
1.842211,3.6155,1.8156,1.0906,4.19
1.844845,3.4415,2.0887,1.3462,4.24
1.858999,3.8446,2.7040,1.5109,4.94
1.865202,4.3801,3.1239,2.5295,5.94
1.875988,4.9217,4.0490,3.1568,7.11
1.893056,5.4238,5.4246,3.7554,8.54
1.895437,5.9056,6.4532,3.8341,9.55
1.908983,6.0655,7.3194,3.2390,10.04
1.915262,6.0115,8.4351,3.7210,11.01
1.926221,6.4939,9.6341,3.8644,12.24
1.941166,7.4017,10.5464,3.7759,13.43
1.945780,7.5663,10.5590,3.9283,13.57
1.958044,8.3940,10.4016,5.0345,14.28
1.966195,9.5046,10.1167,7.8944,15.97
1.976338,9.6733,8.9874,5.9603,14.49
1.992198,7.1080,6.9402,4.5068,10.91
1.996190,2.9556,5.3488,4.6207,7.66
2.013126,1.0528,3.2500,2.6140,4.30
2.016641,-0.8359,1.3556,-0.3352,1.63
2.026864,-2.3589,-0.8737,0.9833,2.70
2.042205,-3.7081,-0.6881,-3.6018,5.22
2.047114,-6.2569,-0.3760,-0.2704,6.27
2.058960,-0.1070,-0.6023,5.5077,5.54
2.074802,5.0302,-1.8566,5.7187,7.84
2.091047,6.8096,-2.6173,-0.3147,7.30
2.100382,6.6768,-3.0294,-0.2356,7.34
2.111364,7.0772,-3.2051,1.2073,7.86
2.125455,6.9332,-2.7495,1.8157,7.68
2.127251,5.2810,-1.9495,-0.0346,5.63
2.137502,3.3875,-1.1980,-2.0594,4.14
2.147570,2.0413,-0.8237,-2.3231,3.20
2.157912,1.3613,-0.7600,-1.5833,2.22
2.172982,0.8798,-0.8954,-2.0187,2.38
2.177749,0.3213,-0.9881,-2.8818,3.06
