# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-11-03 18:08:36.882
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.516579,0.1756,0.0592,-0.0591,0.19
0.527523,0.3206,0.2127,0.6390,0.75
0.540601,0.3738,0.2201,0.8677,0.97
0.550627,0.3083,0.1629,0.5730,0.67
0.560249,0.0656,0.1722,0.0303,0.19
0.571542,-0.1729,0.0925,-0.2589,0.32
0.576996,-0.4099,0.1580,-0.1836,0.48
0.590966,-0.5940,-0.0262,0.0345,0.60
0.597719,-0.7038,-0.1637,0.1321,0.73
0.608021,-1.0438,-0.2160,0.3598,1.12
0.618187,-0.8424,-0.1408,0.1503,0.87
0.627931,-0.5242,0.0590,-0.0930,0.54
0.638797,-0.6115,0.0849,-0.2046,0.65
0.648571,-0.5789,0.0694,-0.1501,0.60
0.657505,-0.1339,0.0384,-0.1058,0.17
0.675387,-0.0406,-0.1924,0.3357,0.39
0.677574,-0.5238,-0.1948,0.5105,0.76
0.688723,-0.6021,-0.2531,0.8297,1.06
0.698811,-0.8686,-0.5965,0.6652,1.25
0.708725,-0.7008,-0.4322,0.7046,1.08
0.721666,-1.1789,-0.4918,1.2438,1.78
0.730043,-1.0441,-0.5873,0.5432,1.32
0.738643,-0.4254,-0.7839,0.4949,1.02
0.749356,-1.1190,-0.7941,0.5660,1.48
0.758838,-0.9547,-0.8796,0.1888,1.31
0.773351,-1.0789,-1.3324,0.5499,1.80
0.778608,-0.4438,-1.8145,1.2247,2.23
0.789393,-0.8938,-1.9984,2.4613,3.29
0.799496,-1.0404,-2.0228,2.5504,3.42
0.810077,-1.2580,-2.7029,2.5327,3.91
0.821189,-1.8212,-3.9308,2.6019,5.05
0.830664,-2.0190,-4.2174,2.0231,5.09
0.841008,-2.1877,-5.2419,1.3896,5.85
0.856912,-2.3081,-6.0624,0.3248,6.50
0.859821,-2.6116,-7.5539,0.5401,8.01
0.871877,-3.2523,-9.6935,1.6797,10.36
0.880708,-3.8025,-11.9066,1.2575,12.56
0.890498,-4.8989,-16.7900,4.3768,18.03
0.905346,-6.3078,-20.5204,4.5782,21.95
0.911358,-6.8221,-22.7130,6.5720,24.61
0.924202,-3.6545,-21.5721,7.6043,23.16
0.930604,-0.6410,-18.4558,7.6154,19.98
0.941204,-2.5797,-13.3444,8.5475,16.06
0.960046,-3.6653,-9.2874,9.2609,13.62
0.960584,-3.8366,-6.7756,10.0855,12.74
0.972675,-3.6725,-5.3069,7.5814,9.96
0.981607,-5.3912,-5.5761,7.6057,10.86
0.991189,-11.9383,-6.3280,13.7846,19.30
1.008888,-12.5123,-3.1084,10.0413,16.34
1.011482,-12.5163,-0.1719,8.7057,15.25
1.021424,-13.9561,1.1072,6.9533,15.63
1.032432,-14.8613,1.8640,6.4007,16.29
1.041674,-15.1500,1.9930,5.1646,16.13
1.059329,-14.0342,0.2001,2.2208,14.21
1.061097,-10.8879,-0.3618,0.4906,10.90
1.071572,-8.5070,-0.8883,-0.0796,8.55
1.082440,-6.9845,-1.1271,-0.4947,7.09
1.092804,-5.5206,-1.6070,-0.8020,5.81
1.105691,-4.4373,-2.1491,-1.5135,5.16
1.112209,-3.4741,-2.7586,-2.0151,4.87
1.122285,-2.4737,-3.2519,-2.3531,4.71
1.133100,-1.6402,-3.6146,-2.4402,4.66
1.142300,-1.1837,-3.7936,-3.0177,4.99
1.155587,-0.9793,-4.0158,-3.6779,5.53
1.162556,-0.9791,-4.2718,-4.6720,6.41
1.172875,-1.2414,-4.7874,-4.9996,7.03
1.183478,-0.5553,-5.6287,-4.7145,7.36
1.193038,1.5150,-6.5973,-4.9398,8.38
1.205392,3.8529,-7.4592,-5.2334,9.89
1.214691,4.9579,-8.0879,-5.4215,10.93
1.223401,5.7734,-8.3659,-6.0309,11.82
1.233812,7.3288,-7.5954,-6.3160,12.30
1.243819,8.9488,-6.7235,-6.8610,13.13
1.255675,10.2095,-6.2011,-7.6134,14.17
1.264103,11.5353,-5.5499,-7.9267,15.06
1.274037,12.5000,-4.8410,-8.1416,15.68
1.283907,12.9275,-3.7935,-8.4765,15.92
1.294258,13.1477,-2.5392,-9.5253,16.43
1.304473,13.7182,-1.2294,-10.2155,17.15
1.313980,14.4078,0.1916,-10.7602,17.98
1.326026,15.2137,1.5123,-11.0160,18.84
1.338778,16.1815,1.9164,-10.5745,19.43
1.344612,16.6419,1.7226,-9.8198,19.40
1.357729,17.7163,0.4227,-8.8066,19.79
1.364896,18.6024,-0.0188,-8.7573,20.56
1.374665,19.5014,-0.1566,-7.0025,20.72
1.392545,16.9122,-1.6670,-1.9040,17.10
1.395327,14.9224,-2.9041,-1.4961,15.28
1.405065,10.5183,-4.0191,0.7180,11.28
1.415927,3.4568,-3.2730,-2.4087,5.34
1.425517,-0.7483,-3.5875,-5.1233,6.30
1.437770,-6.9423,-7.8012,0.0285,10.44
1.450420,-7.9743,-9.6871,-3.6445,13.07
1.459782,-4.1725,-8.9247,-9.0668,13.39
1.465750,-0.2489,-7.7256,-11.8081,14.11
1.475976,3.4142,-7.3749,-6.4863,10.40
1.488471,3.7125,-2.9831,0.4105,4.78
1.495998,3.4234,-0.6072,2.6305,4.36
1.507313,4.7413,-0.0149,2.3037,5.27
1.516503,4.7997,0.2056,2.7830,5.55
1.527521,4.6557,0.2913,1.8980,5.04
1.540038,5.4941,0.1038,0.5708,5.52
1.549131,6.3581,-0.9951,-0.5410,6.46
1.560474,3.9597,-2.4230,-1.1421,4.78
1.573524,0.4350,-2.1727,-0.9225,2.40
1.592502,-0.7564,-0.2504,-0.7115,1.07
1.597146,-1.1724,-0.3603,-1.3832,1.85
1.608160,-0.8243,-0.4281,-1.5651,1.82
1.624634,-0.4173,-0.1531,-0.8413,0.95
1.627903,-0.4119,0.3132,-0.1936,0.55
1.641208,-0.2343,0.5341,0.1701,0.61
1.647963,-0.1351,0.3166,0.3663,0.50
1.658290,0.0208,0.0203,0.4582,0.46
1.674495,-0.0945,0.1157,0.5577,0.58
1.677978,-0.4926,0.4228,0.8570,1.08
1.691219,-0.6334,0.5394,0.9070,1.23
1.698215,-0.7383,0.4989,0.9849,1.33
1.708619,-0.8575,0.4258,0.9836,1.37
1.724130,-0.5757,0.3486,0.6212,0.92
1.729003,-0.6477,0.0667,0.6124,0.89
1.740378,-0.7321,-0.1500,-0.0150,0.75
1.748992,-1.0545,-0.3905,-0.0679,1.13
1.759206,-1.3738,-0.5501,-0.1504,1.49
1.774130,-1.1375,-0.5958,0.0694,1.29
1.779131,-0.5882,-0.4542,0.2409,0.78
1.796574,-0.6035,-0.3501,0.6077,0.93
1.798989,-0.6716,-0.4385,1.2568,1.49
1.809519,-0.8031,-0.7195,1.4669,1.82
1.822830,-1.0480,-1.1165,1.4132,2.08
1.830091,-0.9967,-1.4241,1.0460,2.03
1.839970,-0.8194,-1.6285,0.5457,1.90
1.849937,-1.1607,-1.9463,0.3923,2.30
1.859907,-1.5607,-2.0134,0.1572,2.55
