# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-11-03 19:34:40.829
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.004750,1.7218,1.0830,0.2330,2.05
2.016004,1.6668,0.8643,0.5351,1.95
2.030127,1.9254,1.0467,1.1453,2.47
2.036095,2.3375,0.9573,1.7473,3.07
2.046404,2.2553,1.0984,1.8698,3.13
2.056348,3.0051,1.0498,2.0789,3.80
2.065281,3.0982,1.6199,1.2247,3.70
2.079754,3.2971,2.6786,0.7048,4.31
2.085969,3.1135,2.8715,0.8312,4.32
2.102728,3.2500,2.3045,0.6687,4.04
2.106227,2.8466,2.2661,0.9249,3.75
2.116274,2.8968,2.7623,1.7769,4.38
2.131740,3.4954,3.1596,1.7595,5.03
2.135887,4.2984,3.3643,2.3187,5.93
2.146204,4.3627,3.6920,2.3774,6.19
2.156913,4.4495,4.8084,2.3408,6.96
2.166387,4.6415,5.9604,2.4126,7.93
2.179471,4.6017,7.2271,2.0402,8.81
2.186594,5.1275,8.4148,3.8672,10.59
2.197278,5.6157,9.0019,2.6100,10.93
2.207462,6.3584,8.9905,2.8950,11.39
2.217250,6.5370,9.5774,0.9669,11.64
2.230708,6.6146,13.5751,1.7422,15.20
2.237456,8.5351,15.6506,7.4945,19.34
2.247427,6.3083,11.4720,4.7037,13.91
2.263004,3.1128,7.0108,4.1145,8.70
2.267772,3.8078,-1.5789,5.2483,6.67
2.279931,4.1657,-4.2319,0.8499,6.00
2.288384,2.4838,1.6374,-4.0842,5.05
2.297971,4.9624,2.7042,1.3839,5.82
2.313335,9.2144,1.7100,6.3121,11.30
2.318159,12.2052,-0.4234,3.5950,12.73
2.330033,10.5516,-1.2493,-1.0362,10.68
2.338654,9.9077,-1.8267,-0.6248,10.09
2.348282,8.6268,-1.8197,1.8458,9.01
2.362888,7.3376,-1.5598,1.5572,7.66
2.369155,5.6247,-1.1079,-0.5477,5.76
2.379681,3.9101,-0.1942,-1.5861,4.22
2.389062,2.7148,-0.3143,-1.5179,3.13
2.398875,2.2357,0.0680,-1.5790,2.74
2.412340,2.8288,0.2703,-1.7713,3.35
2.419364,2.8963,0.3313,-2.0457,3.56
2.429637,2.0808,0.9903,-1.9470,3.02
2.439346,0.7182,1.6982,-1.9316,2.67
2.449384,-0.6287,1.6389,-1.8941,2.58
2.462622,-0.8922,1.7519,-1.5840,2.52
2.469863,-1.0012,2.6762,-1.4455,3.20
2.479979,-1.4014,3.5872,-1.1964,4.03
2.489368,-2.5149,4.0471,-1.5447,5.01
2.500011,-4.0600,3.6023,-1.8787,5.74
2.512861,-5.1959,3.0131,-2.4411,6.48
2.520370,-5.5183,2.9960,-3.1606,7.03
2.529935,-5.6039,3.4268,-3.0692,7.25
2.546460,-7.4941,7.7884,-1.7381,10.95
2.550514,-7.3034,3.4415,-3.3443,8.74
2.563422,-7.5680,3.8561,-3.7816,9.30
2.570980,-9.1030,3.5336,-3.4887,10.37
2.581088,-10.9152,4.5700,-1.4479,11.92
2.595873,-12.2072,2.9518,-1.2716,12.62
2.600896,-11.4754,2.1774,-2.0217,11.85
2.610536,-9.6477,2.2294,-2.9996,10.35
2.620642,-8.7135,2.0339,-3.7609,9.71
2.639725,-7.9081,1.8697,-3.7409,8.95
2.651055,-7.7664,1.8499,-2.9504,8.51
2.661420,-9.2904,1.1928,-2.3411,9.65
2.670864,-10.1529,0.4353,-1.3743,10.25
2.681524,-11.1491,0.1582,-1.3458,11.23
2.695454,-12.2977,0.1951,-1.0918,12.35
2.702114,-12.4720,0.3752,-0.3291,12.48
2.713647,-12.0314,0.8970,-0.6085,12.08
2.722321,-10.1670,3.1869,3.1695,11.12
2.732046,-9.6256,0.2595,-0.6686,9.65
2.746471,-12.7788,-0.2001,0.8677,12.81
2.752382,-7.3047,1.2017,-4.3201,8.57
2.762774,0.9908,3.1977,-4.9065,5.94
2.772304,4.5770,5.0274,1.2954,6.92
2.782323,4.6097,6.5608,-2.5318,8.41
2.794613,7.0435,10.5652,-8.0129,15.01
2.802533,7.7292,12.6862,-5.3808,15.80
2.812912,-1.3015,6.5359,-0.2131,6.67
2.822550,-4.0622,1.1620,1.6657,4.54
2.833157,-4.5120,-0.3162,6.3965,7.83
2.845222,-5.8437,-1.0025,4.0804,7.20
2.853391,-7.1339,-2.8299,3.8476,8.59
2.863715,-6.7704,-3.2323,3.5813,8.31
2.873470,-4.5306,-1.1616,2.0726,5.12
2.883698,-3.4151,1.3394,1.6188,4.01
2.895874,-2.0265,2.9369,-0.4837,3.60
2.904405,-0.5926,1.2858,-1.6912,2.21
2.913878,-1.0115,-0.1574,-0.7986,1.30
2.930367,-1.5527,0.2110,-0.8438,1.78
2.936473,-1.3758,1.4185,-0.5564,2.05
2.947198,-1.3474,0.7977,-0.6495,1.70
