# Target Sample Rate: 479 Hz
# Max Device Sample Rate: 479 Hz
# Recording started at: 2026-06-14 17:17:23.926
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
4.753137,1.055,0.064,0.133,1.065
4.755315,1.037,0.139,0.167,1.060
4.760199,1.031,0.183,0.188,1.064
4.760262,1.039,0.196,0.197,1.076
4.761634,1.060,0.188,0.201,1.095
4.768284,1.087,0.153,0.201,1.116
4.777533,1.155,-0.133,0.201,1.180
4.785100,1.126,-0.365,0.166,1.195
4.791858,0.899,-0.376,0.122,0.982
4.795262,0.607,-0.276,0.107,0.675
4.799706,0.519,-0.197,0.103,0.564
4.799749,0.442,-0.120,0.097,0.468
4.801692,0.371,-0.062,0.094,0.388
4.803928,0.317,-0.023,0.095,0.332
4.809937,0.276,0.006,0.094,0.291
4.812354,0.232,0.044,0.094,0.254
4.818083,0.228,0.045,0.094,0.251
4.818147,0.228,0.049,0.097,0.253
4.818700,0.228,0.053,0.099,0.254
4.820864,0.218,0.055,0.099,0.246
4.824487,0.204,0.055,0.097,0.232
4.825011,0.187,0.051,0.090,0.213
4.827083,0.149,0.038,0.081,0.174
4.829145,0.110,0.058,0.072,0.143
4.832087,0.073,0.078,0.066,0.126
4.833318,0.042,0.097,0.059,0.121
4.835885,0.017,0.100,0.057,0.117
4.837591,0.005,0.110,0.052,0.122
4.844359,0.001,0.109,0.050,0.120
4.851577,0.028,0.064,0.047,0.084
4.854490,0.044,0.037,0.048,0.075
4.858894,0.044,0.032,0.048,0.073
4.858967,0.046,0.021,0.047,0.069
4.861057,0.050,0.010,0.045,0.068
4.865626,0.057,-0.006,0.042,0.071
4.865676,0.069,-0.029,0.039,0.085
4.867274,0.084,-0.057,0.036,0.108
4.869334,0.093,-0.090,0.033,0.133
4.873360,0.100,-0.120,0.028,0.158
4.873697,0.106,-0.137,0.024,0.175
4.875744,0.100,-0.153,0.022,0.184
4.877890,0.099,-0.161,0.018,0.190
4.882103,0.095,-0.171,0.017,0.196
4.882136,0.096,-0.173,0.014,0.199
4.884220,0.097,-0.189,0.014,0.213
4.886225,0.105,-0.200,0.014,0.226
4.890725,0.115,-0.219,0.015,0.247
4.890749,0.126,-0.228,0.013,0.261
4.892596,0.134,-0.245,0.014,0.280
4.894666,0.140,-0.258,0.017,0.294
4.899329,0.149,-0.265,0.014,0.304
4.899370,0.152,-0.271,0.014,0.311
4.901143,0.154,-0.280,0.013,0.319
4.903195,0.156,-0.287,0.012,0.327
4.908272,0.161,-0.288,0.012,0.330
4.911693,0.170,-0.303,0.012,0.347
4.916676,0.176,-0.304,0.012,0.351
4.920201,0.182,-0.317,0.014,0.366
4.926237,0.183,-0.313,0.015,0.363
4.928739,0.194,-0.313,0.017,0.368
4.934494,0.198,-0.314,0.019,0.371
4.934569,0.204,-0.314,0.019,0.375
4.935285,0.207,-0.319,0.020,0.381
4.937166,0.211,-0.322,0.019,0.386
4.942949,0.212,-0.330,0.020,0.393
4.945510,0.200,-0.333,0.024,0.390
4.956402,0.198,-0.339,0.026,0.394
4.960350,0.179,-0.381,0.024,0.422
4.962428,0.170,-0.379,0.026,0.416
4.965632,0.162,-0.376,0.026,0.410
4.966680,0.157,-0.372,0.024,0.405
4.968825,0.150,-0.375,0.025,0.405
4.971041,0.143,-0.369,0.024,0.396
4.980301,0.134,-0.366,0.025,0.391
4.983750,0.107,-0.354,0.024,0.371
4.986253,0.104,-0.347,0.022,0.363
4.988007,0.100,-0.343,0.024,0.358
4.991408,0.094,-0.337,0.023,0.351
4.992165,0.088,-0.327,0.022,0.339
4.994232,0.084,-0.322,0.023,0.334
4.996515,0.080,-0.319,0.023,0.329
5.000376,0.079,-0.315,0.023,0.326
5.000590,0.075,-0.319,0.022,0.328
5.002886,0.072,-0.314,0.024,0.323
5.018825,0.071,-0.310,0.023,0.319
5.023407,0.066,-0.337,0.028,0.344
5.023440,0.068,-0.338,0.028,0.346
5.026887,0.064,-0.341,0.030,0.348
5.028174,0.064,-0.335,0.029,0.342
5.034985,0.063,-0.332,0.028,0.339
5.041126,0.064,-0.339,0.028,0.347
5.045017,0.063,-0.328,0.033,0.336
5.048015,0.055,-0.322,0.030,0.328
5.049367,0.052,-0.327,0.028,0.333
5.051547,0.050,-0.322,0.024,0.327
5.053667,0.049,-0.319,0.023,0.323
5.058846,0.049,-0.309,0.023,0.314
5.061959,0.044,-0.283,0.024,0.288
5.068789,0.044,-0.280,0.025,0.284
5.076926,0.040,-0.264,0.025,0.268
5.083744,0.028,-0.247,0.025,0.249
5.087339,0.022,-0.226,0.024,0.228
5.089484,0.018,-0.232,0.024,0.234
5.091577,0.012,-0.232,0.026,0.234
5.093697,0.012,-0.232,0.026,0.234
5.095838,0.011,-0.217,0.026,0.219
5.097985,0.007,-0.219,0.028,0.220
5.100066,0.008,-0.215,0.029,0.217
5.102152,0.007,-0.220,0.028,0.222
5.104278,0.007,-0.215,0.028,0.217
5.106418,0.005,-0.215,0.028,0.217
5.108514,0.003,-0.209,0.029,0.211
5.110627,0.003,-0.198,0.030,0.200
5.112864,-0.002,-0.192,0.030,0.194
5.116414,-0.004,-0.181,0.030,0.183
5.117283,-0.002,-0.160,0.031,0.163
5.119480,-0.005,-0.159,0.030,0.162
5.121656,-0.003,-0.177,0.030,0.180
5.124487,-0.005,-0.165,0.031,0.168
5.125488,-0.008,-0.160,0.033,0.163
5.127610,-0.006,-0.159,0.034,0.162
5.134921,-0.005,-0.156,0.036,0.160
5.143534,-0.008,-0.149,0.035,0.153
5.150841,-0.022,-0.143,0.039,0.150
5.153209,-0.004,-0.127,0.033,0.131
5.159310,-0.002,-0.129,0.031,0.133
5.161670,0.011,-0.112,0.030,0.117
5.167419,0.016,-0.110,0.030,0.115
5.167506,0.018,-0.115,0.029,0.120
5.167978,0.024,-0.116,0.026,0.121
5.170155,0.028,-0.112,0.025,0.118
5.174259,0.031,-0.111,0.024,0.118
5.174335,0.041,-0.106,0.026,0.117
5.176357,0.040,-0.104,0.023,0.113
5.178493,0.044,-0.105,0.023,0.116
5.183403,0.047,-0.107,0.022,0.119
5.183457,0.055,-0.100,0.019,0.116
5.184939,0.060,-0.099,0.018,0.117
5.187000,0.063,-0.101,0.017,0.121
5.192021,0.073,-0.098,0.014,0.123
5.192097,0.077,-0.096,0.015,0.124
5.193274,0.084,-0.094,0.013,0.127
5.195332,0.088,-0.096,0.012,0.131
5.208779,0.091,-0.096,0.012,0.133
5.212562,0.138,-0.065,-0.003,0.152
5.216364,0.144,-0.049,-0.011,0.152
5.216849,0.141,-0.049,-0.010,0.150
5.218752,0.146,-0.046,-0.010,0.154
5.220851,0.149,-0.043,-0.009,0.155
5.226902,0.152,-0.034,-0.015,0.157
5.229334,0.165,0.005,-0.015,0.165
5.234004,0.171,0.005,-0.015,0.171
5.234085,0.178,0.016,-0.014,0.179
5.235568,0.185,0.022,-0.013,0.187
5.237847,0.195,0.028,-0.014,0.198
5.242894,0.207,0.040,-0.013,0.212
5.242956,0.215,0.043,-0.010,0.219
5.244153,0.221,0.043,-0.009,0.225
5.246154,0.231,0.040,-0.008,0.234
5.249518,0.240,0.038,-0.007,0.243
5.250376,0.251,0.021,-0.005,0.252
5.252534,0.264,0.016,-0.005,0.264
5.256286,0.278,-0.012,-0.008,0.279
5.256786,0.298,-0.027,-0.008,0.299
5.258922,0.321,-0.043,-0.008,0.324
5.261030,0.343,-0.047,-0.009,0.346
5.264809,0.366,-0.045,-0.009,0.369
5.265439,0.393,-0.044,-0.009,0.396
5.267406,0.419,-0.041,-0.007,0.421
5.269514,0.444,-0.035,-0.004,0.446
5.276174,0.473,-0.022,-0.003,0.473
5.283811,0.612,0.006,0.019,0.612
5.286478,0.839,-0.026,0.056,0.841
5.292903,0.989,-0.095,0.064,0.996
5.300361,2.145,-0.393,0.321,2.204
5.303505,3.760,-0.404,0.478,3.812
5.313843,4.529,-0.451,0.515,4.580
5.316067,8.648,0.312,0.835,8.694
5.318211,9.440,0.376,0.832,9.484
5.320386,10.163,0.440,0.823,10.206
5.325151,10.811,0.522,0.817,10.854
5.325192,11.384,0.554,0.802,11.425
5.326697,11.885,0.637,0.797,11.928
5.328921,12.314,0.766,0.819,12.364
5.333347,12.665,0.927,0.869,12.729
5.333402,12.940,1.140,0.930,13.024
5.335202,13.150,1.432,1.017,13.267
5.337304,13.307,1.800,1.128,13.475
5.341634,13.418,2.198,1.260,13.655
5.341693,13.492,2.604,1.405,13.813
5.343678,13.557,2.993,1.554,13.970
5.345901,13.644,3.372,1.690,14.156
5.350180,13.736,3.729,1.809,14.347
5.350233,13.797,4.021,1.891,14.495
5.352139,13.751,4.188,1.937,14.505
5.354275,13.524,4.177,1.973,14.291
5.360253,13.136,4.007,1.945,13.870
5.362748,11.314,3.599,1.566,11.976
5.367860,10.678,3.476,1.334,11.308
5.367919,9.914,3.466,1.015,10.551
5.369288,8.658,3.593,0.634,9.396
5.371540,7.182,3.102,0.217,7.827
5.375190,5.259,2.093,-0.200,5.664
5.375510,3.302,0.733,-0.472,3.415
5.377693,1.698,-0.807,-0.583,1.968
5.383672,0.557,-2.385,-0.537,2.507
5.386329,-1.326,-3.223,-0.643,3.544
5.392290,-1.454,-2.694,-0.796,3.163
5.394649,-1.094,-0.675,-1.046,1.657
5.396714,-0.972,-0.307,-1.083,1.487
5.401702,-0.865,-0.190,-1.061,1.382
5.401805,-0.763,-0.248,-0.956,1.248
5.403064,-0.665,-0.393,-0.793,1.107
5.409407,-0.577,-0.548,-0.610,1.003
5.416631,-0.301,-0.987,-0.013,1.032
5.419966,-0.119,-1.525,0.156,1.537
5.426775,-0.122,-1.625,0.173,1.639
5.435587,-0.802,-2.030,0.329,2.208
5.442913,-1.967,-2.680,0.833,3.428
5.445337,-2.491,-2.262,1.056,3.527
5.450668,-2.579,-2.082,1.109,3.495
5.450726,-2.639,-1.919,1.154,3.461
5.451635,-2.667,-1.771,1.192,3.417
5.453742,-2.670,-1.641,1.226,3.365
5.459458,-2.653,-1.528,1.259,3.310
5.459547,-2.621,-1.444,1.284,3.256
5.460376,-2.579,-1.377,1.298,3.199
5.462432,-2.534,-1.346,1.284,3.144
5.467999,-2.494,-1.340,1.248,3.094
5.470876,-2.494,-1.368,1.011,3.019
5.474340,-2.539,-1.373,0.907,3.026
5.474927,-2.605,-1.371,0.799,3.050
5.477020,-2.688,-1.356,0.692,3.089
5.479222,-2.777,-1.325,0.584,3.132
5.483265,-2.863,-1.277,0.475,3.170
5.483373,-2.946,-1.215,0.367,3.208
5.485605,-3.016,-1.142,0.261,3.235
5.487765,-3.074,-1.055,0.156,3.254
5.491156,-3.117,-0.963,0.052,3.263
5.491857,-3.152,-0.862,-0.048,3.269
5.493970,-3.179,-0.756,-0.148,3.271
5.496050,-3.201,-0.652,-0.247,3.276
5.499696,-3.220,-0.545,-0.346,3.284
5.500483,-3.238,-0.441,-0.450,3.299
5.502615,-3.265,-0.352,-0.551,3.330
5.504563,-3.292,-0.270,-0.657,3.367
5.510666,-3.326,-0.203,-0.758,3.417
5.513229,-3.443,-0.098,-1.038,3.597
