# Target Sample Rate: 479 Hz
# Max Device Sample Rate: 479 Hz
# Recording started at: 2026-06-14 17:25:07.357
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.004178,-0.151,-0.202,-0.047,0.256
0.004212,-0.122,-0.175,-0.046,0.218
0.004800,-0.097,-0.156,-0.043,0.189
0.023318,-0.082,-0.151,-0.041,0.177
0.026748,-0.033,-0.153,-0.046,0.163
0.036410,-0.031,-0.147,-0.046,0.157
0.040376,-0.071,-0.093,-0.033,0.122
0.045700,-0.080,-0.084,-0.035,0.121
0.048818,-0.098,-0.055,-0.038,0.119
0.054775,-0.100,-0.053,-0.038,0.120
0.057543,-0.088,-0.042,-0.044,0.107
0.066661,-0.080,-0.037,-0.046,0.099
0.069991,-0.042,-0.006,-0.057,0.071
0.072177,-0.037,0.002,-0.060,0.071
0.074220,-0.032,0.016,-0.061,0.071
0.077313,-0.028,0.022,-0.063,0.072
0.078442,-0.028,0.028,-0.065,0.076
0.080772,-0.026,0.038,-0.065,0.080
0.085831,-0.025,0.044,-0.068,0.084
0.089345,-0.020,0.050,-0.065,0.084
0.091375,-0.016,0.050,-0.064,0.083
0.095045,-0.016,0.048,-0.061,0.079
0.095492,-0.014,0.043,-0.060,0.075
0.097684,-0.010,0.039,-0.057,0.069
0.099722,-0.006,0.033,-0.057,0.066
0.104268,-0.004,0.024,-0.054,0.059
0.104306,-0.004,0.013,-0.052,0.053
0.106083,0.001,0.009,-0.048,0.049
0.113447,0.002,-0.001,-0.047,0.047
0.122870,0.011,-0.010,-0.037,0.040
0.132345,0.007,-0.010,-0.031,0.033
0.141414,0.005,-0.016,-0.030,0.034
0.150785,0.008,-0.020,-0.025,0.033
0.154795,0.007,-0.028,-0.019,0.034
0.157576,0.009,-0.031,-0.020,0.038
0.161284,0.006,-0.035,-0.019,0.040
0.165377,0.002,-0.033,-0.019,0.038
0.170596,0.001,-0.031,-0.019,0.036
0.173815,-0.005,-0.034,-0.017,0.039
0.179827,-0.008,-0.038,-0.017,0.042
0.182306,-0.016,-0.042,-0.016,0.047
0.189078,-0.019,-0.043,-0.014,0.049
0.198372,-0.032,-0.033,-0.016,0.049
0.207689,-0.039,-0.010,-0.024,0.047
0.216643,-0.052,0.013,-0.031,0.062
0.225862,-0.055,0.026,-0.032,0.069
0.228912,-0.050,0.035,-0.038,0.072
0.230983,-0.049,0.034,-0.037,0.070
0.237444,-0.046,0.034,-0.037,0.068
0.239810,-0.032,0.009,-0.035,0.048
0.246824,-0.025,0.001,-0.033,0.041
0.255872,0.006,-0.032,-0.022,0.039
0.265202,0.014,-0.043,-0.020,0.049
0.274484,0.002,-0.026,-0.020,0.033
0.283608,-0.015,-0.007,-0.015,0.022
0.292662,-0.041,0.013,-0.016,0.046
0.297657,-0.050,0.000,-0.011,0.052
0.298772,-0.047,-0.001,-0.011,0.048
0.303832,-0.042,-0.005,-0.008,0.043
0.307219,-0.025,-0.004,-0.006,0.026
0.313418,-0.021,0.001,-0.005,0.022
0.315667,-0.013,0.015,0.013,0.023
0.322785,-0.002,0.021,0.013,0.025
0.331992,0.035,0.020,-0.021,0.045
0.341101,0.040,0.032,-0.019,0.054
0.351263,0.041,0.045,0.001,0.061
0.353798,0.036,0.059,-0.002,0.069
0.355861,0.036,0.061,-0.003,0.071
0.362814,0.033,0.060,-0.002,0.068
0.372387,0.028,0.060,0.008,0.067
0.381587,0.003,0.073,0.064,0.098
0.390725,0.040,0.056,0.006,0.069
0.399762,0.034,0.045,-0.016,0.059
0.408789,0.044,0.054,-0.019,0.072
0.410978,0.077,0.083,0.013,0.114
0.413076,0.086,0.081,0.012,0.119
0.415172,0.093,0.073,0.012,0.119
0.420202,0.100,0.062,0.013,0.118
0.420258,0.104,0.050,0.012,0.116
0.421585,0.104,0.042,0.013,0.112
0.423681,0.105,0.033,0.014,0.111
0.429492,0.104,0.023,0.016,0.107
0.429536,0.096,0.028,0.022,0.103
0.430005,0.075,0.054,0.047,0.104
0.432117,0.062,0.053,0.069,0.107
0.438590,0.061,0.039,0.085,0.112
