# Target Sample Rate: 479 Hz
# Max Device Sample Rate: 479 Hz
# Recording started at: 2026-06-14 18:11:12.033
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.002617,-0.046,-0.072,0.001,0.085
0.003138,-0.043,-0.068,0.004,0.081
0.005227,-0.038,-0.065,0.005,0.075
0.009282,-0.036,-0.060,0.007,0.070
0.011449,-0.031,-0.051,0.011,0.061
0.013474,-0.028,-0.047,0.013,0.057
0.016122,-0.030,-0.049,0.016,0.059
0.018214,-0.028,-0.045,0.017,0.056
0.020053,-0.028,-0.043,0.019,0.055
0.022311,-0.028,-0.044,0.019,0.056
0.024499,-0.030,-0.047,0.018,0.059
0.026496,-0.032,-0.046,0.017,0.059
0.028282,-0.033,-0.043,0.017,0.057
0.032395,-0.033,-0.041,0.018,0.056
0.032771,-0.032,-0.041,0.015,0.054
0.034650,-0.030,-0.034,0.015,0.047
0.036755,-0.030,-0.029,0.015,0.044
0.038873,-0.027,-0.018,0.013,0.035
0.041000,-0.025,-0.013,0.015,0.032
0.043107,-0.020,-0.008,0.015,0.026
0.045193,-0.016,0.003,0.013,0.021
0.047335,-0.015,0.005,0.013,0.021
0.049964,-0.010,0.009,0.011,0.017
0.051878,-0.008,0.016,0.008,0.020
0.054097,-0.003,0.026,0.007,0.027
0.057415,-0.003,0.026,0.005,0.026
0.058386,-0.003,0.026,0.006,0.027
0.060346,-0.003,0.028,0.007,0.029
0.062166,-0.003,0.026,0.010,0.028
0.065606,-0.003,0.023,0.012,0.026
0.066643,-0.005,0.022,0.012,0.026
0.068806,-0.005,0.017,0.015,0.023
0.071357,-0.004,0.017,0.015,0.023
0.072912,-0.003,0.020,0.013,0.024
0.074936,-0.003,0.018,0.012,0.022
0.077013,-0.002,0.022,0.011,0.025
0.079154,-0.002,0.021,0.011,0.024
0.081372,0.001,0.022,0.010,0.024
0.083818,0.002,0.025,0.011,0.027
0.085730,0.006,0.031,0.013,0.034
0.087798,0.008,0.032,0.015,0.036
0.091088,0.012,0.038,0.018,0.044
0.092321,0.013,0.040,0.023,0.048
0.094317,0.013,0.044,0.022,0.051
0.096044,0.014,0.049,0.018,0.054
0.099468,0.012,0.047,0.011,0.049
0.101084,0.011,0.049,0.006,0.051
0.102855,0.008,0.044,0.001,0.045
0.104906,0.008,0.045,-0.001,0.046
0.107928,0.006,0.045,-0.004,0.046
0.108941,0.005,0.045,-0.004,0.046
0.111382,0.005,0.047,-0.004,0.047
0.112969,0.002,0.045,-0.000,0.045
0.115660,0.002,0.045,-0.000,0.045
0.117230,0.002,0.049,0.002,0.049
0.119388,0.001,0.048,0.005,0.048
0.121429,0.002,0.043,0.007,0.044
0.124202,0.003,0.047,0.011,0.048
0.125666,0.005,0.054,0.021,0.058
0.127868,0.002,0.049,0.029,0.057
0.129966,0.005,0.044,0.033,0.055
0.132527,0.002,0.038,0.033,0.050
0.134161,0.001,0.038,0.030,0.049
0.136397,-0.000,0.043,0.028,0.051
0.138375,-0.003,0.044,0.027,0.052
0.140934,-0.009,0.043,0.023,0.050
0.143138,-0.013,0.044,0.017,0.049
0.145117,-0.015,0.045,0.006,0.048
0.146843,-0.017,0.044,-0.006,0.048
0.149261,-0.014,0.038,-0.006,0.041
0.151360,-0.010,0.029,-0.000,0.031
0.153242,-0.002,0.022,0.013,0.026
0.155281,0.002,0.022,0.019,0.030
0.157901,0.006,0.025,0.022,0.033
0.159599,0.006,0.027,0.018,0.033
0.161684,0.003,0.027,0.013,0.030
0.163802,0.005,0.031,0.010,0.032
0.165977,0.003,0.038,0.007,0.039
0.168275,0.003,0.038,0.005,0.038
0.171465,-0.000,0.037,0.006,0.037
0.172508,0.001,0.038,0.007,0.039
0.177244,-0.000,0.036,0.008,0.037
0.180815,0.007,0.036,0.008,0.037
0.185043,0.009,0.037,0.006,0.038
0.185863,0.013,0.033,0.007,0.036
0.187351,0.016,0.034,0.007,0.038
0.189295,0.018,0.034,0.007,0.039
0.193691,0.019,0.034,0.006,0.040
0.193960,0.024,0.034,0.006,0.042
0.195665,0.025,0.032,0.005,0.041
0.197925,0.028,0.028,0.004,0.040
0.207017,0.029,0.025,0.004,0.038
0.211620,0.036,0.010,0.001,0.038
0.212713,0.036,0.005,0.001,0.037
0.216309,0.035,0.000,-0.000,0.035
0.216769,0.034,-0.005,0.002,0.034
0.219195,0.034,-0.007,0.001,0.035
0.221432,0.038,-0.005,0.001,0.038
0.224245,0.042,0.000,0.002,0.043
0.225224,0.050,0.007,0.005,0.051
0.227369,0.057,0.015,0.005,0.059
0.229423,0.063,0.023,0.006,0.068
0.236313,0.069,0.037,0.006,0.079
0.247691,0.062,0.055,-0.000,0.083
0.253542,0.051,0.020,0.001,0.055
0.253641,0.057,0.009,0.004,0.058
0.255360,0.083,-0.005,0.005,0.083
0.260996,0.095,-0.012,0.005,0.096
0.263999,0.111,-0.032,0.005,0.115
0.269071,0.105,-0.039,0.002,0.112
0.269099,0.093,-0.045,0.002,0.103
0.269634,0.080,-0.045,0.002,0.092
0.272353,0.066,-0.054,0.002,0.085
0.280551,0.049,-0.057,0.004,0.075
0.287468,0.017,-0.090,0.007,0.092
0.296245,0.035,-0.098,0.010,0.104
0.303922,0.042,-0.084,0.013,0.095
0.306053,0.053,-0.067,0.015,0.087
0.309167,0.058,-0.061,0.015,0.086
0.312040,0.066,-0.057,0.013,0.088
0.314096,0.068,-0.055,0.012,0.088
0.316244,0.073,-0.049,0.011,0.088
0.318450,0.079,-0.045,0.012,0.092
0.320664,0.083,-0.039,0.011,0.092
0.325114,0.086,-0.028,0.008,0.091
0.327254,0.094,-0.011,0.008,0.095
0.335536,0.095,-0.004,0.007,0.095
0.337974,0.090,0.005,0.007,0.091
0.343590,0.086,0.007,0.008,0.087
0.343673,0.084,0.006,0.010,0.085
0.344405,0.084,0.007,0.010,0.085
0.346658,0.078,0.001,0.011,0.079
0.355866,0.074,0.001,0.011,0.075
0.358571,0.060,-0.007,0.015,0.062
0.360677,0.057,-0.007,0.012,0.059
0.362813,0.058,-0.011,0.013,0.061
0.367350,0.056,-0.012,0.013,0.059
0.367386,0.055,-0.012,0.012,0.057
0.369266,0.055,-0.010,0.016,0.058
0.371576,0.051,-0.008,0.018,0.055
0.375001,0.050,-0.010,0.017,0.053
0.375899,0.049,-0.008,0.015,0.051
0.378017,0.045,-0.006,0.011,0.047
0.379954,0.042,-0.004,0.007,0.043
0.386089,0.040,-0.002,0.001,0.040
0.388543,0.033,0.007,-0.001,0.034
0.394245,0.030,0.007,-0.001,0.031
0.394325,0.030,0.006,-0.000,0.031
0.394857,0.029,0.009,-0.000,0.030
0.396870,0.031,0.006,-0.000,0.032
0.400745,0.033,0.007,0.001,0.034
0.401058,0.031,0.009,0.001,0.033
0.403365,0.033,0.009,0.001,0.034
0.405613,0.031,0.004,-0.000,0.032
0.411479,0.033,0.001,0.001,0.033
0.414478,0.030,-0.007,0.002,0.031
0.419787,0.030,-0.010,0.002,0.032
0.419817,0.027,-0.013,0.004,0.030
0.420401,0.027,-0.021,0.002,0.034
0.422456,0.025,-0.022,0.002,0.034
0.429170,0.024,-0.023,0.004,0.034
0.436170,0.019,-0.034,0.004,0.039
0.439191,0.012,-0.034,0.002,0.036
0.442533,0.012,-0.035,0.002,0.037
0.443396,0.011,-0.036,0.002,0.038
0.445835,0.011,-0.038,0.002,0.039
0.447939,0.011,-0.038,0.001,0.039
0.451268,0.011,-0.038,-0.000,0.039
0.451874,0.009,-0.038,0.001,0.039
0.454285,0.007,-0.029,-0.001,0.030
0.459409,0.007,-0.022,-0.003,0.023
0.463075,0.005,0.000,-0.003,0.005
0.469528,0.006,0.005,-0.003,0.008
0.473100,0.005,0.021,-0.005,0.022
0.477647,0.006,0.027,-0.003,0.028
0.477753,0.008,0.027,-0.004,0.029
0.479598,0.009,0.031,-0.005,0.033
0.487478,0.011,0.032,-0.005,0.034
0.496341,0.018,0.042,-0.009,0.046
0.503400,0.017,0.050,-0.015,0.055
0.508851,0.002,0.033,-0.017,0.037
0.509009,0.002,0.025,-0.016,0.029
0.511458,0.006,0.014,-0.016,0.022
0.513120,0.011,0.010,-0.012,0.019
0.518656,0.014,0.014,-0.012,0.023
0.521817,0.035,0.018,-0.007,0.040
0.526897,0.040,0.016,-0.007,0.044
0.526969,0.041,0.015,-0.006,0.044
0.528101,0.042,0.017,-0.006,0.046
0.535306,0.041,0.020,-0.007,0.046
0.539175,0.025,0.018,-0.009,0.033
0.543129,0.022,0.017,-0.011,0.030
0.543210,0.023,0.018,-0.007,0.030
0.545446,0.023,0.018,-0.007,0.030
0.548023,0.025,0.017,-0.009,0.032
0.552358,0.031,0.020,-0.006,0.038
0.555499,0.047,0.042,-0.007,0.064
0.561377,0.052,0.047,-0.007,0.070
0.568331,0.056,0.072,-0.014,0.092
0.571632,0.056,0.092,-0.021,0.109
0.580379,0.057,0.095,-0.023,0.114
0.586600,0.061,0.113,-0.032,0.132
0.586667,0.064,0.116,-0.034,0.137
0.586712,0.066,0.120,-0.034,0.141
0.590025,0.071,0.131,-0.038,0.153
0.593962,0.072,0.133,-0.039,0.156
0.594320,0.075,0.142,-0.044,0.167
0.595835,0.074,0.144,-0.045,0.169
0.601271,0.073,0.147,-0.047,0.170
0.604327,0.073,0.168,-0.055,0.191
0.609986,0.074,0.174,-0.058,0.197
0.612885,0.069,0.194,-0.067,0.217
0.619822,0.069,0.205,-0.072,0.229
0.627948,0.066,0.241,-0.084,0.264
0.636228,0.063,0.274,-0.094,0.296
0.645598,0.051,0.297,-0.110,0.321
0.656633,0.044,0.306,-0.108,0.327
0.659386,0.034,0.306,-0.104,0.325
0.661859,0.034,0.297,-0.089,0.312
0.663895,0.034,0.301,-0.069,0.310
0.667027,0.031,0.295,-0.059,0.302
0.668010,0.031,0.291,-0.060,0.299
0.669938,0.029,0.291,-0.067,0.300
0.671984,0.027,0.284,-0.077,0.295
0.677459,0.020,0.277,-0.089,0.292
0.677508,0.018,0.271,-0.098,0.289
0.678312,0.016,0.268,-0.103,0.287
0.680472,0.012,0.264,-0.104,0.284
0.686612,0.009,0.258,-0.103,0.278
0.689237,0.002,0.247,-0.097,0.265
0.694446,-0.002,0.238,-0.094,0.256
0.694502,-0.004,0.234,-0.093,0.251
0.695573,-0.006,0.224,-0.092,0.242
0.699956,-0.011,0.214,-0.092,0.233
0.699992,-0.015,0.207,-0.089,0.226
0.702000,-0.020,0.201,-0.088,0.220
0.703980,-0.026,0.190,-0.084,0.209
0.706178,-0.030,0.186,-0.084,0.206
0.708955,-0.035,0.183,-0.082,0.204
0.710129,-0.038,0.177,-0.080,0.198
0.712482,-0.046,0.174,-0.077,0.195
0.714541,-0.047,0.172,-0.076,0.194
0.718804,-0.053,0.168,-0.072,0.190
0.718900,-0.054,0.166,-0.069,0.188
0.720810,-0.058,0.165,-0.066,0.187
0.727234,-0.058,0.164,-0.065,0.185
0.735477,-0.065,0.150,-0.050,0.171
0.737564,-0.065,0.138,-0.039,0.158
0.744571,-0.064,0.132,-0.036,0.151
0.756179,-0.060,0.114,-0.028,0.132
0.758918,-0.050,0.087,-0.027,0.104
0.760922,-0.046,0.081,-0.026,0.096
0.763063,-0.042,0.075,-0.026,0.089
0.768404,-0.037,0.070,-0.026,0.083
0.768427,-0.032,0.066,-0.025,0.077
0.769292,-0.030,0.065,-0.026,0.076
0.771562,-0.025,0.059,-0.028,0.070
0.780726,-0.020,0.060,-0.031,0.070
0.784632,-0.008,0.032,-0.033,0.047
0.786420,-0.008,0.025,-0.033,0.042
0.788338,-0.003,0.018,-0.034,0.039
0.791511,-0.003,0.010,-0.034,0.036
0.792533,-0.002,0.000,-0.033,0.033
0.794650,0.001,-0.008,-0.032,0.033
0.796826,0.001,-0.016,-0.029,0.033
0.800019,0.003,-0.022,-0.018,0.029
0.801186,0.005,-0.028,-0.001,0.028
0.803702,0.005,-0.036,-0.001,0.037
0.805967,0.005,-0.045,-0.007,0.046
0.807960,0.002,-0.057,-0.010,0.058
0.809514,0.002,-0.074,0.004,0.074
0.812035,0.002,-0.082,0.008,0.082
0.816094,-0.000,-0.090,0.007,0.091
0.816360,-0.002,-0.095,0.001,0.095
0.818497,-0.004,-0.101,-0.010,0.102
0.820385,-0.008,-0.109,-0.025,0.112
0.822199,-0.006,-0.106,-0.037,0.113
0.824339,-0.004,-0.106,-0.045,0.115
0.826672,-0.002,-0.105,-0.050,0.116
0.828807,0.003,-0.093,-0.053,0.107
0.833879,0.008,-0.078,-0.056,0.097
0.837124,0.006,-0.057,-0.098,0.114
0.839303,0.002,-0.063,-0.082,0.104
0.844391,-0.002,-0.066,-0.050,0.083
0.852451,-0.008,-0.091,0.012,0.093
0.864882,0.017,-0.110,-0.027,0.114
0.868954,-0.004,-0.161,-0.043,0.167
0.871333,-0.020,-0.167,-0.042,0.173
0.873701,-0.033,-0.171,-0.040,0.179
0.875185,-0.043,-0.173,-0.040,0.183
0.877240,-0.057,-0.179,-0.039,0.192
0.879422,-0.063,-0.190,-0.039,0.204
0.882229,-0.066,-0.201,-0.038,0.215
0.884029,-0.068,-0.215,-0.038,0.228
0.886074,-0.065,-0.226,-0.038,0.238
0.888171,-0.063,-0.234,-0.038,0.246
0.892458,-0.059,-0.242,-0.037,0.252
0.894698,-0.057,-0.242,-0.034,0.251
0.896820,-0.057,-0.248,-0.033,0.256
0.900666,-0.058,-0.245,-0.032,0.254
0.900936,-0.060,-0.245,-0.032,0.255
0.903046,-0.059,-0.249,-0.032,0.258
0.904974,-0.058,-0.252,-0.033,0.260
0.909284,-0.058,-0.259,-0.032,0.267
0.909359,-0.052,-0.264,-0.034,0.271
0.911504,-0.047,-0.263,-0.034,0.269
0.916669,-0.037,-0.267,-0.033,0.272
0.917494,-0.031,-0.271,-0.034,0.275
0.919704,-0.027,-0.267,-0.034,0.271
0.921853,-0.022,-0.265,-0.034,0.268
0.925104,-0.019,-0.259,-0.036,0.262
0.926023,-0.017,-0.259,-0.037,0.262
0.928269,-0.013,-0.252,-0.037,0.255
0.935079,-0.013,-0.247,-0.038,0.250
0.937209,-0.014,-0.227,-0.040,0.231
0.939317,-0.015,-0.222,-0.042,0.227
0.943900,-0.016,-0.216,-0.040,0.220
0.943989,-0.020,-0.216,-0.042,0.221
0.951734,-0.022,-0.214,-0.042,0.219
0.953838,-0.030,-0.219,-0.040,0.224
0.960525,-0.030,-0.221,-0.040,0.227
0.969493,-0.033,-0.225,-0.034,0.230
0.971715,-0.032,-0.226,-0.029,0.230
0.983984,-0.031,-0.227,-0.028,0.231
0.987896,-0.030,-0.214,-0.022,0.217
0.995027,-0.028,-0.212,-0.022,0.215
1.004022,-0.021,-0.200,-0.021,0.202
1.012717,-0.013,-0.189,-0.017,0.190
1.018160,-0.009,-0.181,-0.011,0.181
1.018223,-0.010,-0.182,-0.010,0.182
1.019450,-0.009,-0.182,-0.011,0.182
1.021936,-0.008,-0.173,-0.007,0.174
1.025999,-0.006,-0.175,-0.006,0.175
1.026077,-0.010,-0.173,-0.006,0.174
1.027781,-0.010,-0.171,-0.005,0.171
1.029854,-0.011,-0.170,-0.001,0.170
1.034793,-0.010,-0.157,-0.003,0.158
1.034855,-0.011,-0.154,-0.001,0.154
1.036130,-0.013,-0.146,-0.001,0.147
1.038260,-0.011,-0.138,0.001,0.138
1.042096,-0.013,-0.131,0.001,0.131
1.042892,-0.009,-0.123,0.001,0.124
1.044740,-0.010,-0.112,0.004,0.113
1.047078,-0.009,-0.107,0.005,0.108
1.050523,-0.010,-0.100,0.006,0.101
1.051753,-0.009,-0.090,0.007,0.091
1.053795,-0.011,-0.082,0.011,0.083
1.055902,-0.011,-0.068,0.016,0.071
1.060561,-0.010,-0.055,0.030,0.063
1.060631,-0.008,-0.045,0.040,0.061
1.061572,-0.005,-0.038,0.043,0.057
1.064462,-0.003,-0.028,0.041,0.050
1.070465,-0.003,-0.017,0.033,0.037
1.072674,-0.003,0.003,0.001,0.004
1.079730,-0.002,0.011,-0.007,0.014
1.089456,0.003,0.040,-0.012,0.042
1.091812,-0.002,0.088,-0.003,0.088
1.095883,-0.011,0.104,-0.003,0.105
1.103171,-0.019,0.110,-0.003,0.112
1.105304,-0.028,0.116,-0.003,0.120
1.112289,-0.030,0.119,-0.001,0.122
1.118902,-0.022,0.153,-0.001,0.154
1.124119,-0.016,0.191,-0.004,0.191
1.125238,-0.017,0.204,-0.005,0.205
1.127060,-0.020,0.209,-0.005,0.210
1.129146,-0.025,0.214,-0.005,0.215
1.131891,-0.030,0.219,-0.006,0.221
1.133856,-0.033,0.214,-0.005,0.217
1.136142,-0.036,0.208,-0.005,0.211
1.138191,-0.035,0.219,-0.007,0.222
1.142501,-0.033,0.212,-0.007,0.214
1.146562,-0.021,0.203,-0.006,0.204
1.149401,-0.016,0.204,-0.005,0.205
1.151898,-0.014,0.204,-0.005,0.205
1.152981,-0.009,0.209,-0.005,0.209
1.154641,-0.005,0.220,-0.006,0.220
1.158516,-0.006,0.230,-0.006,0.230
1.158904,-0.005,0.237,-0.004,0.237
1.160981,-0.005,0.246,-0.005,0.246
1.163011,-0.005,0.249,-0.006,0.250
1.167460,-0.006,0.257,-0.007,0.257
1.167503,-0.009,0.262,-0.007,0.262
1.169488,-0.006,0.263,-0.010,0.263
1.171591,-0.005,0.262,-0.010,0.262
1.178959,-0.008,0.257,-0.010,0.257
1.184511,-0.003,0.236,-0.010,0.236
1.184543,-0.005,0.236,-0.009,0.236
1.186338,-0.005,0.227,-0.009,0.228
1.188393,-0.004,0.224,-0.009,0.224
1.191946,-0.004,0.219,-0.007,0.219
1.192824,-0.006,0.216,-0.007,0.217
1.195559,-0.005,0.212,-0.009,0.212
1.197014,-0.006,0.209,-0.009,0.209
1.205469,-0.006,0.207,-0.010,0.207
1.209577,-0.009,0.186,-0.012,0.186
1.211859,-0.008,0.188,-0.014,0.189
1.214431,-0.008,0.182,-0.014,0.183
1.217174,-0.008,0.186,-0.014,0.187
1.218060,-0.008,0.186,-0.012,0.186
1.220167,-0.009,0.193,-0.007,0.194
1.222305,-0.008,0.201,0.011,0.201
1.226324,-0.008,0.202,0.023,0.203
1.226519,-0.005,0.197,0.027,0.199
1.228734,-0.005,0.199,0.028,0.201
1.234455,-0.006,0.199,0.028,0.201
1.237186,-0.011,0.182,0.033,0.185
1.241480,-0.013,0.175,0.040,0.180
