# Target Sample Rate: 479 Hz
# Max Device Sample Rate: 479 Hz
# Recording started at: 2026-06-14 18:17:50.899
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.002960,-0.066,-0.016,-0.071,0.099
0.007609,-0.042,-0.005,-0.076,0.087
0.008035,-0.038,-0.004,-0.080,0.088
0.010192,-0.027,-0.002,-0.082,0.087
0.014701,-0.022,-0.004,-0.085,0.088
0.014731,-0.019,0.000,-0.088,0.090
0.016564,-0.017,0.003,-0.092,0.094
0.018665,-0.015,-0.002,-0.092,0.093
0.022506,-0.014,-0.010,-0.092,0.093
0.022855,-0.010,-0.015,-0.093,0.095
0.025078,-0.008,-0.017,-0.092,0.094
0.027197,-0.004,-0.021,-0.092,0.094
0.030752,0.001,-0.016,-0.091,0.092
0.031298,0.007,-0.006,-0.091,0.091
0.033545,0.012,0.012,-0.088,0.090
0.035654,0.014,0.028,-0.088,0.094
0.039460,0.016,0.048,-0.087,0.101
0.039789,0.013,0.060,-0.087,0.107
0.041998,0.013,0.062,-0.088,0.109
0.044034,0.017,0.059,-0.092,0.110
0.047581,0.022,0.049,-0.093,0.107
0.048252,0.029,0.036,-0.096,0.106
0.050503,0.040,0.017,-0.097,0.106
0.052554,0.052,0.005,-0.098,0.111
0.055939,0.067,-0.010,-0.099,0.120
0.056826,0.084,-0.021,-0.102,0.134
0.058980,0.099,-0.028,-0.104,0.146
0.060937,0.107,-0.034,-0.105,0.154
0.064228,0.116,-0.038,-0.105,0.161
0.065200,0.116,-0.041,-0.105,0.162
0.067403,0.115,-0.041,-0.107,0.162
0.069436,0.108,-0.043,-0.107,0.158
0.072582,0.100,-0.043,-0.105,0.151
0.073722,0.090,-0.043,-0.105,0.145
0.075867,0.080,-0.040,-0.104,0.138
0.077970,0.075,-0.043,-0.104,0.135
0.081021,0.069,-0.041,-0.100,0.129
0.082139,0.072,-0.041,-0.102,0.131
0.084228,0.074,-0.040,-0.099,0.130
0.086406,0.077,-0.034,-0.098,0.129
0.089360,0.083,-0.027,-0.097,0.130
0.090719,0.089,-0.019,-0.094,0.131
0.092692,0.093,-0.012,-0.092,0.131
0.094837,0.095,-0.001,-0.091,0.131
0.097753,0.096,0.007,-0.088,0.131
0.099165,0.095,0.011,-0.087,0.129
0.101231,0.096,0.018,-0.085,0.129
0.103299,0.091,0.023,-0.085,0.127
0.105955,0.091,0.027,-0.083,0.127
0.107580,0.091,0.032,-0.083,0.128
0.109620,0.094,0.036,-0.086,0.132
0.111803,0.097,0.039,-0.086,0.136
0.114246,0.102,0.043,-0.087,0.141
0.116017,0.106,0.042,-0.088,0.144
0.118167,0.113,0.043,-0.087,0.149
0.120272,0.119,0.047,-0.088,0.156
0.122599,0.127,0.047,-0.087,0.161
0.124458,0.134,0.048,-0.086,0.166
0.126546,0.141,0.050,-0.085,0.172
0.128725,0.146,0.051,-0.083,0.176
0.131005,0.152,0.051,-0.081,0.180
0.132958,0.156,0.047,-0.078,0.181
0.135188,0.163,0.040,-0.077,0.185
0.137207,0.167,0.038,-0.077,0.188
0.139363,0.172,0.027,-0.077,0.190
0.141398,0.176,0.021,-0.076,0.193
0.143531,0.182,0.020,-0.074,0.197
0.147669,0.188,0.017,-0.069,0.201
0.151231,0.196,-0.002,-0.071,0.209
0.155977,0.204,-0.017,-0.075,0.218
0.156270,0.209,-0.022,-0.076,0.223
0.158313,0.213,-0.024,-0.075,0.228
0.160441,0.217,-0.027,-0.075,0.231
0.164253,0.224,-0.034,-0.076,0.239
0.164700,0.228,-0.034,-0.076,0.243
0.166772,0.231,-0.039,-0.075,0.246
